company_cnae;cnae_section_id;cnae_section_desc;cnae_division_id;cnae_division_desc;cnae_group_id;cnae_group_desc;cnae_class_id;cnae_class_desc;company_cnae_desc
4723700;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios bebidas e fumo;47.23-7;Comércio varejista de bebidas;Comércio varejista de bebidas
4724500;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios bebidas e fumo;47.24-5;Comércio varejista de hortifrutigranjeiros;Comércio varejista de hortifrutigranjeiros
4729601;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios bebidas e fumo;47.29-6;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente produtos do fumo;Tabacaria
4729602;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios bebidas e fumo;47.29-6;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente produtos do fumo;Comércio varejista de mercadorias em lojas de conveniência
4729699;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.2;Comércio varejista de produtos alimentícios bebidas e fumo;47.29-6;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente produtos do fumo;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente
4731800;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.3;Comércio varejista de combustíveis para veículos automotores;47.31-8;Comércio varejista de combustíveis para veículos automotores;Comércio varejista de combustíveis para veículos automotores
4732600;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.3;Comércio varejista de combustíveis para veículos automotores;47.32-6;Comércio varejista de lubrificantes;Comércio varejista de lubrificantes
4741500;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.41-5;Comércio varejista de tintas e materiais para pintura;Comércio varejista de tintas e materiais para pintura
4742300;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.42-3;Comércio varejista de material elétrico;Comércio varejista de material elétrico
4743100;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.43-1;Comércio varejista de vidros;Comércio varejista de vidros
4744001;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.44-0;Comércio varejista de ferragens madeira e materiais de construção;Comércio varejista de ferragens e ferramentas
4744002;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.44-0;Comércio varejista de ferragens madeira e materiais de construção;Comércio varejista de madeira e artefatos
4744003;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.44-0;Comércio varejista de ferragens madeira e materiais de construção;Comércio varejista de materiais hidráulicos
4744004;G;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;47;COMÉRCIO VAREJISTA;47.4;Comércio varejista de material de construção;47.44-0;Comércio varejista de ferragens madeira e materiais de construção;Comércio varejista de cal areia pedra britada tijolos e telhas
